core_order,line_id,bias_code,bias_title,chapter_opening,title,tier,line_type,key_move_san,key_move_uci,fen_before_key_move,fen_after_key_move,fixed_prefix,concept,human_problem,black_plan,memory_rule,editorial_surprise_1_5,editorial_opponent_burden_1_5,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,legacy_engine_grade,legacy_engine_max_loss_cp,stockfish_v1_status,maia3_status,lichess_status,external_review_status,publication_gate
29,STO-01,B6,Règles rigides,Stonewall et gambits,Stonewall : fermer par ...c4!,Essentiel,pratique,Bf5,c8f5,rnbqkb1r/pp2pppp/5n2/3p4/2pP1P2/4P3/PPP1B1PP/RNBQK1NR b KQkq -,rn1qkb1r/pp2pppp/5n2/3p1b2/2pP1P2/4P3/PPP1B1PP/RNBQK1NR w KQkq -,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. f4 c4 5. Be2 Bf5,Fixer le fou d3 hors de sa diagonale d’attaque et gagner de l’espace.,Le Stonewall veut Bxh7+ ou e4 ; ...c4 coupe le fou et empêche la rupture facile.,"Jouer ...e6, ...Nc6 et développer l’aile-dame par ...b5.",Fou d3 + f4 = ferme le centre par ...c4.,5,5,5,5,A,6,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
30,BDG-01,B6,Règles rigides,Stonewall et gambits,Blackmar-Diemer : accepter avec ...exf3,Essentiel,critique,Bf5,c8f5,rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R b KQkq -,rn1qkb1r/ppp1pppp/5n2/5b2/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bf5,Accepter le pion puis développer le fou avant ...e6.,Le gambit compte sur un Noir qui défend passivement son pion supplémentaire.,"Développer ...e6, ...Be7 et roquer ; rendre le pion seulement pour simplifier.","Accepte, développe, roque — ne protège pas le pion avec des contorsions.",4,4,5,5,A,10,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
31,ORD-10,B7,Attaque d’aile avant le centre,Londres — ordres de coups,h3 précoce : prendre l’initiative,Essentiel,structure,Qb6,d8b6,rnbqkb1r/pp2pppp/5n2/3p4/3N1B2/7P/PPP1PPP1/RN1QKB1R b KQkq -,rnb1kb1r/pp2pppp/1q3n2/3p4/3N1B2/7P/PPP1PPP1/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. h3 cxd4 5. Nxd4 Qb6,Capitaliser sur un tempo prophylactique qui ne répond à aucune menace réelle.,h3 est joué par habitude pour offrir h2 au fou.,"Attaquer b2, puis utiliser ...Bf5 ou ...cxd4.","Quand l’adversaire prépare une retraite, avance au centre.",3,3,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
32,JOB-06,B7,Attaque d’aile avant le centre,Jobava,4.f3 : ouvrir d4 avant l’attaque,Essentiel,pratique,Nc6,b8c6,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B2/2N2P2/PPP1P1PP/R3KBNR b KQkq -,r1bqkb1r/pp2pppp/2n2n2/3p4/3Q1B2/2N2P2/PPP1P1PP/R3KBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. f3 cxd4 5. Qxd4 Nc6,Punir une préparation lente de e4 en ouvrant le centre.,f3 affaiblit e3 et le roi tout en plaçant la dame blanche face aux tempos.,Développer ...e5 ou ...Bf5 avec tempo sur la dame.,"Quand f3 prépare e4, ouvre le centre avant e4.",5,5,5,4,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
33,JOB-09,B7,Attaque d’aile avant le centre,Jobava,4.a3 : un tempo décoratif,Essentiel,pratique,Nc6,b8c6,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B2/P1N5/1PP1PPPP/R3KBNR b KQkq -,r1bqkb1r/pp2pppp/2n2n2/3p4/3Q1B2/P1N5/1PP1PPPP/R3KBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. a3 cxd4 5. Qxd4 Nc6,Ouvrir le centre avant que le coup utile e3 n’arrive.,a3 prépare b4 mais ne répond pas à la tension sur d4.,Développer avec tempo et viser e5.,Un coup d’aile sans menace offre un tempo au centre.,4,5,5,4,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
34,JOB-10,B7,Attaque d’aile avant le centre,Jobava,4.h4 : même sanction centrale,Essentiel,pratique,Nc6,b8c6,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B1P/2N5/PPP1PPP1/R3KBNR b KQkq -,r1bqkb1r/pp2pppp/2n2n2/3p4/3Q1B1P/2N5/PPP1PPP1/R3KBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. h4 cxd4 5. Qxd4 Nc6,Montrer que l’agression visuelle n’empêche pas la rupture centrale.,h4 cherche une attaque avant que le roi noir ait choisi son aile.,Développer ...e5 avec tempo si possible et garder le roi flexible.,Ne réponds pas à h4 par h5 : réponds par le centre.,5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
35,VER-08,B7,Attaque d’aile avant le centre,Veresov et pseudo-Trompowsky,4.f3 : ouvrir avant e4,Essentiel,pratique,Nc6,b8c6,rnbqkb1r/pp2pppp/5n2/3p2B1/3Q4/2N2P2/PPP1P1PP/R3KBNR b KQkq -,r1bqkb1r/pp2pppp/2n2n2/3p2B1/3Q4/2N2P2/PPP1P1PP/R3KBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. f3 cxd4 5. Qxd4 Nc6,Attaquer la dame et le centre avant que f3-e4 ne fonctionne.,f3 affaiblit les diagonales et retarde le cavalier g1.,Développer ...e5 avec tempo et garder le roi flexible.,Comme au Jobava : f3 appelle ...cxd4.,5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
36,JOB-03,B8,Géométrie tactique machine-humanisée,Jobava,4.dxc5 : la poussée machine ...d4!,Essentiel,pratique,d4,d5d4,rnbqkb1r/pp2pppp/5n2/2Pp4/5B2/2N5/PPP1PPPP/R2QKBNR b KQkq -,rnbqkb1r/pp2pppp/5n2/2P5/3p1B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. dxc5 d4,Gagner de l’espace et chasser le cavalier au lieu de récupérer immédiatement le pion.,Les Blancs attendent ...e6 ; ...d4 inverse la question et force une décision.,"Après Nb1, jouer ...e5 ; après Na4, préparer ...Qa5+.",Un pion pris sur l’aile peut être payé par un tempo au centre.,5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
37,JOB-04,B8,Géométrie tactique machine-humanisée,Jobava,4.Nb5 : l’échec qui casse le schéma,Essentiel,pratique,Qa5+,d8a5,rnbqkb1r/pp2pppp/5n2/1Npp4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq -,rnb1kb1r/pp2pppp/5n2/qNpp4/3P1B2/8/PPP1PPPP/R2QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb5 Qa5+,Exploiter immédiatement le cavalier éloigné et le roi au centre.,Le joueur connaît la menace Nc7+ mais oublie que son cavalier c3 ne peut plus bloquer Qa5+.,"Après Nc3, prendre d4 ou jouer ...Na6 selon la tactique.",Nb5 sans c3 disponible appelle ...Qa5+.,5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
38,JOB-13,B8,Géométrie tactique machine-humanisée,Jobava,Le double motif : clouage puis ...Qa5+,Avancé,critique,Qa5+,d8a5,r2qkb1r/pp2pppp/2n2n2/1Npp4/3P1B2/4P3/PPP1NPPP/R2QK2R b KQkq -,r3kb1r/pp2pppp/2n2n2/qNpp4/3P1B2/4P3/PPP1NPPP/R2QK2R w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 Bg4 5. Be2 Bxe2 6. Ngxe2 Nc6 7. Nb5 Qa5+,Retirer le défenseur du centre avant d’utiliser l’échec a5.,"Les Blancs retrouvent Nb5, mais leur coordination a changé après l’échange en e2.",Calculer cxd4 et e5 ; ne pas défendre c7 passivement.,Le motif ...Qa5+ reste vivant tant que Nc3 ne peut interposer.,4,5,3,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
39,TOR-06,B8,Géométrie tactique machine-humanisée,Torre,4.Nbd2 : prendre le fou,Essentiel,pratique,e5,e7e5,rnbqkb1r/ppp1pppp/8/3p2N1/3P4/8/PPPNPPPP/R2QKB1R b KQkq -,rnbqkb1r/ppp2ppp/8/3pp1N1/3P4/8/PPPNPPPP/R2QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Nbd2 Nxg5 5. Nxg5 e5,Échanger la pièce active puis gagner le centre avec tempo.,Nbd2 suppose que le cavalier e4 doit reculer ; il oublie l’échange favorable.,"Après ...e5, développer ...Nc6 et viser d4.","Quand le cavalier d2 reprend en g5, le centre e5 devient libre.",5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
40,VER-03,B8,Géométrie tactique machine-humanisée,Veresov et pseudo-Trompowsky,4.dxc5 : encore ...d4!,Essentiel,pratique,d4,d5d4,rnbqkb1r/pp2pppp/5n2/2Pp2B1/8/2N5/PPP1PPPP/R2QKBNR b KQkq -,rnbqkb1r/pp2pppp/5n2/2P3B1/3p4/2N5/PPP1PPPP/R2QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. dxc5 d4,Utiliser le même pattern que contre le Jobava.,Les Blancs prennent sur c5 en s’attendant à ...e6.,"Chasser le cavalier, jouer ...e5 et récupérer c5 plus tard.",Nc3 + prise en c5 = vérifie toujours ...d4.,5,5,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
